Al,As,B,Co,Cu,Fe,Ga,Ge,Ni,P,S,Sb,Se,Sn,Te,Tl,Y,Zr,Poission
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,0.0,0.0,0.0,0.315
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,21.0,0.0,0.0,0.0,0.31278540000000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,17.0,0.0,0.0,0.0,0.32299999999999995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,14.0,0.0,0.0,0.0,0.3100961
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2,0.0,6.8,0.0,0.0,0.0,0.3110539
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.3247049272727273
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.302
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,67.0,0.0,0.0,0.0,0.0,0.0,0.251
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,53.99,0.0,40.01,0.0,0.0,0.0,0.297
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,63.03,0.0,29.97,0.0,0.0,0.0,0.301
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,72.0,0.0,20.0,0.0,0.0,0.0,0.31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,81.01,0.0,9.99,0.0,0.0,0.0,0.313
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.315
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.43,0.0,0.0,68.57,0.0,20.0,0.0,0.0,0.0,0.302
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,48.02,0.0,39.98,0.0,0.0,0.0,0.294
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.01,0.0,0.0,56.02,0.0,29.97,0.0,0.0,0.0,0.295
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,64.0,0.0,20.0,0.0,0.0,0.0,0.307
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.15,0.0,0.0,42.88,0.0,39.97,0.0,0.0,0.0,0.301
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.02,0.0,0.0,72.07,0.0,9.91,0.0,0.0,0.0,0.32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,50.0,0.0,30.0,0.0,0.0,0.0,0.301
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.322
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.88,0.0,0.0,57.21,0.0,19.91,0.0,0.0,0.0,0.299
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.64,0.0,0.0,64.1,0.0,10.26,0.0,0.0,0.0,0.313
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.01,0.0,0.0,42.02,0.0,29.97,0.0,0.0,0.0,0.318
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.318
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,0.0,0.0,71.4,0.0,0.0,0.0,0.0,0.0,0.35
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.95,0.0,0.0,47.92,0.0,20.13,0.0,0.0,0.0,0.325
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.97,0.0,0.0,53.96,0.0,10.07,0.0,0.0,0.0,0.327
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.02,0.0,0.0,57.03,0.0,4.94,0.0,0.0,0.0,0.32299999999999995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39399999999999996
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,97.5,0.0,0.0,0.0,0.0,0.0,0.33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,3.3,56.0,0.0,37.4,0.0,0.0,0.0,0.304
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,3.3,93.4,0.0,0.0,0.0,0.0,0.0,0.322
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,96.25,0.0,0.0,0.0,0.0,0.0,0.325
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.226
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,9.52,0.0,0.0,85.71,0.0,0.0,0.0,0.0,0.0,0.33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.31768658000000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,85.0,0.0,0.0,0.0,0.0,0.0,0.32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,80.0,0.0,0.0,0.0,0.0,0.0,0.75788
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0,75.0,0.0,0.0,0.0,0.0,0.0,0.6476274000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41,0.0,27.03,0.0,0.0,67.57,0.0,0.0,0.0,0.0,0.0,0.32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66,0.0,18.87,0.0,0.0,75.47,0.0,0.0,0.0,0.0,0.0,0.32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,93.75,0.0,0.0,0.0,0.0,0.0,0.321
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31,0.0,0.0,0.0,27.03,66.67,0.0,0.0,0.0,0.0,0.0,0.243
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69,0.0,0.0,0.0,16.68,45.95,0.0,30.67,0.0,0.0,0.0,0.28300000000000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69,0.0,0.0,0.0,16.68,76.62,0.0,0.0,0.0,0.0,0.0,0.28800000000000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,6.7,52.0,0.0,34.6,0.0,0.0,0.0,0.29100000000000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,6.7,86.59999999999998,0.0,0.0,0.0,0.0,0.0,0.312
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,6.7,86.6,0.0,0.0,0.0,0.0,0.0,0.312
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,26.7,66.6,0.0,0.0,0.0,0.0,0.0,0.267
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,92.5,0.0,0.0,0.0,0.0,0.0,0.32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,10.0,82.5,0.0,0.0,0.0,0.0,0.0,0.6295026
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,15.0,77.5,0.0,0.0,0.0,0.0,0.0,0.6656191999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,20.0,72.5,0.0,0.0,0.0,0.0,0.0,0.6153739
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.231
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57,0.0,0.0,0.0,5.11,61.14,0.0,25.18,0.0,0.0,0.0,0.29100000000000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.318
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.91,0.0,9.01,0.0,0.0,81.08,0.0,0.0,0.0,0.0,0.0,0.31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,54.0,0.0,36.0,0.0,0.0,0.0,0.294
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,75.0,0.0,15.0,0.0,0.0,0.0,0.307
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.3119069
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,77.0,0.0,10.0,0.0,0.0,0.0,0.22699999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,85.0,0.0,0.0,0.0,0.0,0.0,0.318
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,74.0,0.0,10.0,0.0,0.0,0.0,0.237
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,48.0,0.0,32.0,0.0,0.0,0.0,0.306
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,68.0,0.0,10.0,0.0,0.0,0.0,0.258
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71,0.0,17.86,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.228
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.31,0.0,0.0,0.0,21.02,66.67,0.0,0.0,0.0,0.0,0.0,0.251
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,10.0,77.5,0.0,0.0,0.0,0.0,0.0,0.5383460999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,15.0,72.5,0.0,0.0,0.0,0.0,0.0,0.6006739000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,20.0,67.5,0.0,0.0,0.0,0.0,0.0,0.6104096999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,25.0,62.5,0.0,0.0,0.0,0.0,0.0,0.29100000000000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.29,0.0,0.0,0.0,3.3,50.05,0.0,33.37,0.0,0.0,0.0,0.285
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.29,0.0,0.0,0.0,3.3,83.42,0.0,0.0,0.0,0.0,0.0,0.298
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,13.3,44.0,0.0,29.4,0.0,0.0,0.0,0.28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,13.3,73.4,0.0,0.0,0.0,0.0,0.0,0.281
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,23.3,63.4,0.0,0.0,0.0,0.0,0.0,0.26899999999999996
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.306
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,51.0,0.0,34.0,0.0,0.0,0.0,0.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.30013225
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.318
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,75.0,0.0,0.0,0.0,0.0,0.0,0.308
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,22.0,63.0,0.0,0.0,0.0,0.0,0.0,0.28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25,0.0,8.47,0.0,0.0,76.27,0.0,0.0,0.0,0.0,0.0,0.31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25,0.0,16.95,0.0,0.0,67.8,0.0,0.0,0.0,0.0,0.0,0.31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.22699999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,83.5,0.0,0.0,0.0,0.0,0.0,0.304
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,63.333333333333336,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.0,0.23199999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,20.0,63.33,0.0,0.0,0.0,0.0,0.0,0.29600000000000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22399999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.68,0.0,0.0,0.0,6.69,45.95,0.0,30.67,0.0,0.0,0.0,0.278
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.68,0.0,0.0,0.0,6.69,76.62,0.0,0.0,0.0,0.0,0.0,0.268
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.68,0.0,0.0,0.0,16.68,66.63,0.0,0.0,0.0,0.0,0.0,0.273
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.72,0.0,0.0,0.0,26.63,56.66,0.0,0.0,0.0,0.0,0.0,0.257
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,82.5,0.0,0.0,0.0,0.0,0.0,0.305
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,7.5,75.0,0.0,0.0,0.0,0.0,0.0,0.27899999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,10.0,72.5,0.0,0.0,0.0,0.0,0.0,0.544638
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,15.0,67.5,0.0,0.0,0.0,0.0,0.0,0.6139745
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,20.0,62.5,0.0,0.0,0.0,0.0,0.0,0.6379203
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.7269076999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,18.2,63.6,0.0,0.0,0.0,0.0,0.0,0.27699999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.24,0.0,0.0,0.0,18.24,63.53,0.0,0.0,0.0,0.0,0.0,0.27699999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0.0,0.0,0.0,4.38,77.31999999999998,0.0,0.0,0.0,0.0,0.0,0.268
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,17.5,63.75,0.0,0.0,0.0,0.0,0.0,0.5407553
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.84,0.0,0.0,0.0,13.45,66.71,0.0,0.0,0.0,0.0,0.0,0.249
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.212
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,48.0,0.0,32.0,0.0,0.0,0.0,0.28300000000000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,66.7,0.0,13.3,0.0,0.0,0.0,0.29600000000000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.29000000000000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,70.0,0.0,0.0,0.0,0.0,0.0,0.293
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,15.0,65.0,0.0,0.0,0.0,0.0,0.0,0.5893694
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,16.0,64.0,0.0,0.0,0.0,0.0,0.0,0.28600000000000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,64.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,8.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,16.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.84,0.0,0.0,0.0,15.0,64.16,0.0,0.0,0.0,0.0,0.0,0.297
0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,9.0,70.0,0.0,0.0,0.0,0.0,0.0,0.278
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,64.7,0.0,13.3,0.0,0.0,0.0,0.29100000000000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,14.0,64.0,0.0,0.0,0.0,0.0,0.0,0.2866666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,18.0,60.0,0.0,0.0,0.0,0.0,0.0,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,10.0,67.5,0.0,0.0,0.0,0.0,0.0,0.5940635999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,15.0,62.5,0.0,0.0,0.0,0.0,0.0,0.5898151
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,20.0,57.5,0.0,0.0,0.0,0.0,0.0,0.43486729999999996
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,12.0,65.0,0.0,0.0,0.0,0.0,0.0,0.2945205
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,65.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27399999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.23,0.0,0.0,0.0,13.26,63.51,0.0,0.0,0.0,0.0,0.0,0.271
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.32,0.0,0.0,0.0,3.3,73.37,0.0,0.0,0.0,0.0,0.0,0.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.333333333333332,0.0,0.0,64.66666666666666,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28300000000000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.27819227500000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,10.0,65.0,0.0,0.0,0.0,0.0,0.0,0.2896666666666667
