Al,As,B,Co,Cu,Fe,Ga,Ge,Ni,P,S,Sb,Se,Sn,Te,Tl,Y,Zr,Poission
0.0,24.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,62.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23600000000000002
0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.306
0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.344
0.0,25.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294
0.0,25.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.6566696
0.0,25.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,25.0,0.0,30.0,0.0,0.0,0.0,0.27
0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.297
0.0,25.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.3
0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,0.0,0.0,0.0,0.0,0.0,0.305
0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318
0.0,26.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.30666666666667,0.0,0.0,21.733333333333334,0.0,0.0,0.32
0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2895
0.0,28.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271
0.0,28.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.104,0.0,0.0,0.0,0.0,19.74,0.0,0.0,0.309
0.0,28.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.11,0.0,0.0,0.0,0.0,19.72,0.0,0.0,0.337
0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5,0.0,0.0,0.0,0.0,0.0,0.312
0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.43000000000002,0.0,0.0,0.0,0.0,0.0,0.297
0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318
0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.0,0.0,0.28
0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.292
0.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298
0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.2823333333333333
0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.28800000000000003
0.0,30.919999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.94666666666666,0.0,0.0,15.133333333333333,0.0,0.0,0.33
0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.314
0.0,31.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.04,0.0,0.0,0.0,0.0,14.91,0.0,0.0,0.324
0.0,31.82,0.0,0.0,0.0,0.0,0.0,13.64,0.0,0.0,0.0,0.0,54.54,0.0,0.0,0.0,0.0,0.0,0.3
0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,20.0,0.0,0.0,0.304
0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,20.0,0.0,0.0,0.0,0.295
0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,3.0,0.0,0.0,0.0,0.0,0.32799999999999996
0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.285
0.0,32.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275
0.0,32.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
0.0,32.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.84,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.317
0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2.0,0.0,0.0,0.0,0.0,0.319
0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314
0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,16.7,0.0,0.0,0.32
0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.26
0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,16.67,0.0,16.67,0.0,0.0,0.0,0.253
0.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,0.0,0.0,0.0,0.0,0.0,0.305
0.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.93,0.0,0.0,0.0,0.0,10.17,0.0,0.0,0.311
0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,0.0,0.0,0.0,0.0,0.335
0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.3
0.0,35.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.3
0.0,35.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.7134919
0.0,35.239999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.82666666666666,0.0,0.0,7.933333333333334,0.0,0.0,0.31
0.0,35.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.31,0.0,0.0,0.0,0.0,0.0,0.2931034
0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,9.99,0.0,0.0,0.3
0.0,36.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,60.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28600000000000003
0.0,36.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.93,0.0,0.0,0.0,0.0,5.17,0.0,0.0,0.309
0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,3.0,0.0,0.0,0.0,0.0,0.315
0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.306
0.0,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,0.0,27.9,6.99,0.0,0.0,0.3
0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0,0.0,0.0,0.319
0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.27899999999999997
0.0,38.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.13,0.0,29.13,2.91,0.0,0.0,0.29
0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,3.0,0.0,0.0,0.0,0.0,0.34600000000000003
0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.314
0.0,39.06,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,14.65,0.0,43.95,0.0,0.0,0.0,0.28
0.0,39.06,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,43.95,0.0,14.65,0.0,0.0,0.0,0.29
0.0,39.06,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,58.59,0.0,0.0,0.0,0.0,0.0,0.29
0.0,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28600000000000003
0.0,39.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282
0.0,39.53,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,29.64,0.0,29.64,0.0,0.0,0.0,0.28
0.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,0.0,29.7,0.0,0.0,0.0,0.29
0.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,0.0,29.7,0.99,0.0,0.0,0.29
0.0,39.68,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,29.76,0.0,29.76,0.0,0.0,0.0,0.24
0.0,39.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27899999999999997
0.0,39.8,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,29.85,0.0,29.85,0.0,0.0,0.0,0.29
0.0,39.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278
0.0,39.92,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,29.94,0.0,29.94,0.0,0.0,0.0,0.29
0.0,39.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.97,0.0,29.97,0.0,0.0,0.0,0.28500000000000003
0.0,39.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.97,0.0,29.97,0.1,0.0,0.0,0.28
0.0,39.96,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,29.97,0.0,29.97,0.0,0.0,0.0,0.29
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.198
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.29
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,0.0,0.0,0.32
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,4.0,0.0,0.0,0.0,0.0,0.322
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,0.0,0.0,0.317
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,0.0,0.317
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.21600000000000003
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.22
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.20199999999999999
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2926833333333333
0.0,40.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.292
0.0,40.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.28300000000000003
0.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.22
0.0,40.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271
0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,0.0,0.0,0.0,0.0,0.318
0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,3.0,0.0,0.0,0.0,0.0,0.319
0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171
0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32799999999999996
0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,0.0,0.0,0.0,0.0,0.315
0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,0.0,0.0,0.0,0.0,0.0,0.285
0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0,0.0,0.0,0.32299999999999995
0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304
0.0,44.25,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,33.19,0.0,19.47,0.0,0.0,0.0,0.28
0.0,44.44,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,33.33,0.0,19.56,0.0,0.0,0.0,0.28
0.0,44.74,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,0.0,33.56,0.0,19.69,0.0,0.0,0.0,0.31
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.22399999999999998
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.3
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,3.0,0.0,0.0,0.0,0.0,0.318
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2.0,0.0,0.0,0.0,0.0,0.319
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,0.0,0.0,0.0,0.0,0.32299999999999995
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.293
0.0,45.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.302
0.0,45.35,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,34.01,0.0,19.95,0.0,0.0,0.0,0.29
0.0,45.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.25,0.0,20.09,0.0,0.0,0.0,0.29
0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.32
0.0,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.31
0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,3.0,0.0,0.0,0.0,0.0,0.32299999999999995
0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,0.0,0.0,0.0,0.0,0.325
0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,0.32299999999999995
0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.305
0.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.29
0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
0.0,50.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.25,0.0,0.0,0.0,0.0,0.0,0.319
0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,0.0,0.0,0.0,0.0,0.0,0.322
0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.324
0.0,53.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.25,0.0,0.0,0.0,0.0,0.0,0.317
0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.221
0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.326
0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.225
7.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.377
7.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,0.37
7.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,42.0,0.364
7.9,0.0,0.0,0.0,15.8,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,61.0,0.3671
7.9,0.0,0.0,0.0,16.3,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,61.0,0.3632
7.9,0.0,0.0,0.0,16.8,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,61.0,0.3615
7.9,0.0,0.0,0.0,17.3,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,0.3741
7.9,0.0,0.0,0.0,17.8,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,61.0,0.3703
7.9,0.0,0.0,0.0,18.3,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.3699
8.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.366
9.8,0.0,0.0,0.0,29.4,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,53.9,0.371
9.9,0.0,0.0,0.0,29.7,0.0,0.0,0.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.45,0.371
9.95,0.0,0.0,0.0,29.85,0.0,0.0,0.0,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,54.73,0.371
10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.36850000000000005
10.0,0.0,0.0,0.0,15.75,0.0,0.0,0.0,10.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.13,0.377
10.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,10.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.88,0.377
10.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.33
10.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.365
10.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.37
10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.371
19.0,0.0,0.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.377
