As,Ga,Ge,La,S,Se,Te,Refractive_misc
0.0,0.0,0.0,0.0,0.0,75.0,25.0,2.583
0.0,0.0,0.0,0.0,0.0,100.0,0.0,2.498
0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.93
0.0,0.0,4.0,0.0,0.0,96.0,0.0,2.51
0.0,0.0,5.0,0.0,0.0,95.0,0.0,2.41
0.0,0.0,10.0,0.0,0.0,90.0,0.0,2.424
0.0,0.0,15.0,0.0,0.0,85.0,0.0,2.4299999999999997
0.0,0.0,20.0,0.0,0.0,70.0,10.0,2.58
0.0,0.0,20.0,0.0,0.0,80.0,0.0,2.414
0.0,0.0,20.0,0.0,80.0,0.0,0.0,1.98
0.0,0.0,25.0,0.0,0.0,65.0,10.0,2.5
0.0,0.0,25.0,0.0,0.0,75.0,0.0,2.4166666666666665
0.0,0.0,25.0,0.0,75.0,0.0,0.0,2.0
0.0,0.0,27.5,0.0,0.0,72.5,0.0,2.35
0.0,0.0,28.0,0.0,72.0,0.0,0.0,2.0
0.0,0.0,28.6,0.0,71.40000000000002,0.0,0.0,2.003
0.0,0.0,30.0,0.0,0.0,22.0,48.0,3.0
0.0,0.0,30.0,0.0,0.0,70.0,0.0,2.37525
0.0,0.0,33.0,0.0,0.0,67.0,0.0,2.37
0.0,0.0,33.166666666666664,0.0,66.33333333333333,0.0,0.0,2.011
0.0,0.0,33.3,0.0,66.7,0.0,0.0,2.02
0.0,0.0,33.333333333333336,0.0,0.0,66.66666666666667,0.0,2.35
0.0,0.0,35.0,0.0,0.0,65.0,0.0,2.42
0.0,0.0,35.0,0.0,65.0,0.0,0.0,2.07
0.0,0.0,37.0,0.0,63.0,0.0,0.0,2.15
0.0,0.0,37.5,0.0,0.0,62.5,0.0,2.45
0.0,0.0,38.5,0.0,61.5,0.0,0.0,2.17
0.0,0.0,40.0,0.0,0.0,60.0,0.0,2.4603333333333333
0.0,0.0,40.0,0.0,60.0,0.0,0.0,2.2
0.0,0.0,42.5,0.0,0.0,57.5,0.0,2.65
0.0,0.0,42.5,0.0,57.5,0.0,0.0,2.26
0.0,0.0,50.0,0.0,0.0,50.0,0.0,2.545
0.0,0.0,60.0,0.0,0.0,40.0,0.0,2.6930000000000005
0.0,0.0,70.0,0.0,0.0,30.0,0.0,2.8870000000000005
0.0,0.0,80.0,0.0,0.0,20.0,0.0,3.1425
0.0,0.0,90.0,0.0,0.0,10.0,0.0,3.4905
0.0,2.0,27.0,0.0,71.0,0.0,0.0,2.102
0.0,2.0,39.0,0.0,59.0,0.0,0.0,2.325
0.0,5.0,25.0,0.0,70.0,0.0,0.0,2.1566666666666667
0.0,5.0,26.0,0.0,69.0,0.0,0.0,2.131
0.0,5.0,29.0,0.0,66.0,0.0,0.0,2.13
0.0,5.0,32.0,0.0,63.0,0.0,0.0,2.3
0.0,8.0,26.666666666666668,0.0,65.33333333333334,0.0,0.0,2.0
0.0,10.0,22.0,0.0,68.0,0.0,0.0,2.13
0.0,10.0,25.0,0.0,65.0,0.0,0.0,2.1525
0.0,10.0,28.0,0.0,62.0,0.0,0.0,2.31
0.0,13.0,24.0,0.0,63.0,0.0,0.0,2.1830000000000003
0.0,15.0,24.0,0.0,61.0,0.0,0.0,2.206
0.0,18.69,17.653333333333332,0.0,63.346666666666664,0.0,0.0,1.994
0.0,22.0,0.0,18.0,60.0,0.0,0.0,2.4130000000000003
0.0,22.22,14.816666666666668,0.0,62.96333333333334,0.0,0.0,2.15
0.0,22.73,3.0300000000000007,13.64,60.6,0.0,0.0,2.4
0.0,24.0,0.0,16.0,60.0,0.0,0.0,2.403
0.0,25.53,1.42,12.64,60.28,0.0,0.0,2.395
0.0,26.0,0.0,14.0,60.0,0.0,0.0,2.3930000000000002
0.0,28.0,0.0,12.0,60.0,0.0,0.0,2.401
0.0,29.524,0.0,11.428,54.288000000000004,4.76,0.0,2.42
0.0,33.33,0.0,33.33,33.34,0.0,0.0,2.38
5.0,5.0,25.0,0.0,65.0,0.0,0.0,2.6
8.0,0.0,26.666666666666668,0.0,12.0,53.333333333333336,0.0,2.39
10.0,0.0,0.0,0.0,0.0,90.0,0.0,2.5705
10.0,0.0,0.0,0.0,90.0,0.0,0.0,2.14
10.0,0.0,20.0,0.0,0.0,10.0,60.0,3.3
10.22,0.0,31.62,0.0,0.0,58.16,0.0,2.4347
10.3,0.0,21.26,0.0,0.0,68.44,0.0,2.5583
12.0,0.0,23.333333333333332,0.0,18.0,46.666666666666664,0.0,2.38
12.0,0.0,33.0,0.0,0.0,55.0,0.0,2.7
13.26,0.0,31.57,0.0,0.0,55.17,0.0,2.4859
13.77,0.0,32.78,0.0,0.0,47.23,6.22,2.6024
14.0,0.0,21.666666666666668,0.0,21.0,43.333333333333336,0.0,2.36
14.32,0.0,34.09,0.0,0.0,38.66,12.93,2.7305
14.91,0.0,35.51,0.0,0.0,29.38,20.2,2.8688
16.0,0.0,20.0,0.0,24.0,40.0,0.0,2.36
18.0,0.0,18.333333333333332,0.0,27.0,36.666666666666664,0.0,2.32
20.0,0.0,0.0,0.0,0.0,80.0,0.0,2.635
20.0,0.0,0.0,0.0,80.0,0.0,0.0,2.266666666666666
20.0,0.0,16.666666666666668,0.0,30.0,33.333333333333336,0.0,2.36
20.0,0.0,22.0,0.0,0.0,58.0,0.0,2.49
20.0,0.0,30.0,0.0,0.0,25.0,25.0,2.8169999999999997
20.0,0.0,30.0,0.0,0.0,30.0,20.0,2.7539999999999996
20.0,0.0,30.0,0.0,0.0,50.0,0.0,2.491
20.67,0.0,10.67,0.0,0.0,68.66,0.0,2.4594
20.85,0.0,0.0,0.0,0.0,79.15,0.0,2.4027
24.0,0.0,13.333333333333334,0.0,36.0,26.666666666666668,0.0,2.34
28.57,0.0,9.52,0.0,61.91,0.0,0.0,1.5310000000000001
30.0,0.0,0.0,0.0,0.0,70.0,0.0,2.691
30.0,0.0,0.0,0.0,70.0,0.0,0.0,2.4633333333333334
30.85,0.0,10.61,0.0,0.0,58.54,0.0,2.6201
32.0,0.0,6.666666666666667,0.0,48.0,13.333333333333334,0.0,2.34
35.0,0.0,0.0,0.0,0.0,58.0,7.0,3.01
38.4,0.0,0.0,0.0,0.0,61.6,0.0,2.7489999999999997
40.0,0.0,0.0,0.0,0.0,0.0,60.0,3.43
40.0,0.0,0.0,0.0,0.0,60.0,0.0,2.8067499999999996
40.0,0.0,0.0,0.0,15.0,45.0,0.0,2.7
40.0,0.0,0.0,0.0,20.0,40.0,0.0,2.53
40.0,0.0,0.0,0.0,45.0,15.0,0.0,2.48
40.0,0.0,0.0,0.0,60.0,0.0,0.0,2.4673333333333334
40.92,0.0,10.55,0.0,0.0,48.53,0.0,2.6067
50.0,0.0,0.0,0.0,0.0,50.0,0.0,2.779
60.0,0.0,0.0,0.0,0.0,40.0,0.0,2.8110000000000004
70.0,0.0,0.0,0.0,0.0,30.0,0.0,2.8325
80.0,0.0,0.0,0.0,0.0,20.0,0.0,2.85
90.0,0.0,0.0,0.0,0.0,10.0,0.0,2.863
100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.347
