As,Ge,In,P,S,Sb,Se,Si,Te,Tl,softening
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,85.0,0.0,446.15
0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,30.0,0.0,350.15
0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,0.0,344.10000075
0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,19.5,0.0,335.15
0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,20.0,0.0,336.7999996
0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,15.0,0.0,337.15
0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,10.0,0.0,333.69999924999996
0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,5.0,0.0,328.60000075
0.0,0.0,0.0,0.0,0.0,0.0,98.5,0.0,1.5,0.0,324.15
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,317.09999999999997
0.0,0.0,0.0,0.0,0.0,0.5,80.0,0.0,19.5,0.0,337.15
0.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,609.15
0.0,0.0,0.0,0.0,0.0,4.0,96.0,0.0,0.0,0.0,600.15
0.0,0.0,0.0,0.0,0.0,5.0,72.0,0.0,23.0,0.0,355.15
0.0,0.0,0.0,0.0,0.0,5.0,75.0,0.0,20.0,0.0,344.65
0.0,0.0,0.0,0.0,0.0,6.0,94.0,0.0,0.0,0.0,599.15
0.0,0.0,0.0,0.0,0.0,8.0,92.0,0.0,0.0,0.0,598.15
0.0,0.0,0.0,0.0,0.0,10.0,70.0,0.0,20.0,0.0,347.74999849999995
0.0,0.0,0.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,597.15
0.0,0.0,0.0,0.0,0.0,15.0,65.0,0.0,20.0,0.0,352.45000310000006
0.0,0.0,0.0,0.0,4.76,0.0,95.24,0.0,0.0,0.0,325.15
0.0,0.0,0.0,6.0,0.0,0.0,54.0,0.0,40.0,0.0,357.0
0.0,0.0,0.0,7.0,0.0,0.0,63.0,0.0,30.0,0.0,365.0
0.0,0.0,0.0,8.0,0.0,0.0,72.0,0.0,20.0,0.0,369.0
0.0,0.0,0.0,9.0,0.0,0.0,81.0,0.0,10.0,0.0,351.0
0.0,0.0,0.0,10.0,0.0,0.0,90.0,0.0,0.0,0.0,351.0
0.0,0.0,0.0,11.5,0.0,0.0,48.5,0.0,40.0,0.0,387.0
0.0,0.0,0.0,14.0,0.0,0.0,56.0,0.0,30.0,0.0,383.0
0.0,0.0,0.0,16.0,0.0,0.0,64.0,0.0,20.0,0.0,386.0
0.0,0.0,0.0,17.0,0.0,0.0,43.0,0.0,40.0,0.0,377.0
0.0,0.0,0.0,18.0,0.0,0.0,72.0,0.0,10.0,0.0,380.0
0.0,0.0,0.0,20.0,0.0,0.0,50.0,0.0,30.0,0.0,387.0
0.0,0.0,0.0,20.0,0.0,0.0,80.0,0.0,0.0,0.0,369.0
0.0,0.0,0.0,23.0,0.0,0.0,57.0,0.0,20.0,0.0,382.0
0.0,0.0,0.0,25.5,0.0,0.0,64.5,0.0,10.0,0.0,386.0
0.0,0.0,0.0,28.6,0.0,0.0,71.40000000000002,0.0,0.0,0.0,379.0
0.0,0.0,0.0,32.0,0.0,0.0,48.0,0.0,20.0,0.0,384.0
0.0,0.0,0.0,36.0,0.0,0.0,54.0,0.0,10.0,0.0,397.0
0.0,0.0,0.0,40.0,0.0,0.0,60.0,0.0,0.0,0.0,386.0
0.0,0.0,0.5,0.0,0.0,0.0,80.0,0.0,19.5,0.0,336.15
0.0,0.0,5.0,0.0,0.0,0.0,75.0,0.0,20.0,0.0,337.15
0.0,0.0,5.0,0.0,0.0,0.0,79.0,0.0,15.0,0.0,614.15
0.0,0.0,5.5,0.0,0.0,0.0,79.0,0.0,15.0,0.0,611.15
0.0,0.0,10.0,0.0,0.0,0.0,70.0,0.0,20.0,0.0,334.15
0.0,0.0,10.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,360.15
0.0,0.0,15.0,0.0,0.0,0.0,65.0,0.0,20.0,0.0,340.15
0.0,0.0,20.0,0.0,0.0,0.0,60.0,0.0,20.0,0.0,352.15
0.0,4.0,6.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,372.95000310000006
0.0,5.0,0.0,0.0,0.0,0.0,48.0,0.0,47.0,0.0,423.15
0.0,5.0,0.0,0.0,0.0,0.0,55.0,0.0,40.0,0.0,423.15
0.0,5.0,0.0,0.0,0.0,0.0,75.0,0.0,20.0,0.0,398.15
0.0,5.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,347.0
0.0,5.0,0.0,0.0,0.0,20.0,75.0,0.0,0.0,0.0,398.15
0.0,5.0,0.0,35.0,0.0,0.0,60.0,0.0,0.0,0.0,453.15
0.0,6.0,4.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,380.65
0.0,7.0,3.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,380.0
0.0,8.0,2.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,382.15
0.0,10.0,0.0,0.0,0.0,0.0,50.0,0.0,40.0,0.0,410.15
0.0,10.0,0.0,0.0,0.0,0.0,55.0,0.0,35.0,0.0,448.15
0.0,10.0,0.0,0.0,0.0,0.0,70.0,0.0,20.0,0.0,415.15
0.0,10.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,383.0
0.0,10.0,0.0,0.0,0.0,5.0,85.0,0.0,0.0,0.0,435.15
0.0,10.0,0.0,0.0,0.0,15.0,75.0,0.0,0.0,0.0,463.15
0.0,10.0,0.0,0.0,0.0,25.0,65.0,0.0,0.0,0.0,471.15
0.0,10.0,0.0,0.0,60.0,0.0,0.0,0.0,30.0,0.0,413.15
0.0,10.0,0.0,0.0,65.0,0.0,0.0,0.0,25.0,0.0,405.15
0.0,10.0,0.0,0.0,70.0,0.0,0.0,0.0,20.0,0.0,422.15
0.0,10.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,856.0
0.0,10.0,0.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,558.15
0.0,10.0,0.0,20.0,0.0,0.0,70.0,0.0,0.0,0.0,483.15
0.0,10.0,0.0,20.0,70.0,0.0,0.0,0.0,0.0,0.0,548.15
0.0,10.0,0.0,25.0,65.0,0.0,0.0,0.0,0.0,0.0,603.15
0.0,10.0,0.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,653.15
0.0,10.0,0.0,35.0,0.0,0.0,55.0,0.0,0.0,0.0,583.15
0.0,10.0,0.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,793.15
0.0,11.0,3.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,397.0
0.0,11.0,4.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,402.0
0.0,12.0,5.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,413.0
0.0,12.5,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,856.0
0.0,13.0,5.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,417.0
0.0,14.0,8.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,471.0
0.0,15.0,0.0,0.0,0.0,0.0,45.0,0.0,40.0,0.0,405.15
0.0,15.0,0.0,0.0,0.0,0.0,70.0,0.0,15.0,0.0,428.15
0.0,15.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,417.0
0.0,15.0,0.0,0.0,0.0,5.0,80.0,0.0,0.0,0.0,448.15
0.0,15.0,0.0,0.0,70.0,0.0,0.0,0.0,15.0,0.0,461.15
0.0,15.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,855.0
0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,75.0,0.0,403.15
0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,70.0,0.0,410.65
0.0,15.0,0.0,15.0,0.0,0.0,70.0,0.0,0.0,0.0,553.15
0.0,15.0,0.0,15.0,70.0,0.0,0.0,0.0,0.0,0.0,598.15
0.0,15.0,0.0,20.0,0.0,0.0,0.0,0.0,65.0,0.0,461.15
0.0,15.0,0.0,20.0,65.0,0.0,0.0,0.0,0.0,0.0,673.15
0.0,15.0,0.0,25.0,0.0,0.0,60.0,0.0,0.0,0.0,623.15
0.0,15.0,0.0,25.0,60.0,0.0,0.0,0.0,0.0,0.0,743.15
0.0,15.0,0.0,30.0,55.0,0.0,0.0,0.0,0.0,0.0,783.15
0.0,15.0,0.0,35.0,0.0,0.0,50.0,0.0,0.0,0.0,653.15
0.0,15.0,0.0,35.0,50.0,0.0,0.0,0.0,0.0,0.0,788.15
0.0,16.0,0.0,0.0,0.0,24.0,60.0,0.0,0.0,0.0,774.15
0.0,16.0,5.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,473.0
0.0,16.5,8.0,0.0,0.0,0.0,75.5,0.0,0.0,0.0,490.0
0.0,17.5,0.0,0.0,82.5,0.0,0.0,0.0,0.0,0.0,855.0
0.0,18.0,5.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,484.0
0.0,18.18,0.0,13.64,0.0,0.0,0.0,0.0,68.18,0.0,438.15
0.0,19.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,854.0
0.0,19.0,8.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,521.0
0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,60.0,0.0,437.15
0.0,20.0,0.0,0.0,0.0,0.0,45.0,0.0,35.0,0.0,580.15
0.0,20.0,0.0,0.0,0.0,0.0,50.0,0.0,30.0,0.0,463.15
0.0,20.0,0.0,0.0,0.0,0.0,55.0,0.0,25.0,0.0,472.15
0.0,20.0,0.0,0.0,0.0,0.0,60.0,0.0,20.0,0.0,493.15
0.0,20.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,465.0
0.0,20.0,0.0,0.0,0.0,7.0,73.0,0.0,0.0,0.0,543.15
0.0,20.0,0.0,0.0,0.0,10.0,70.0,0.0,0.0,0.0,545.15
0.0,20.0,0.0,0.0,0.0,20.0,60.0,0.0,0.0,0.0,792.15
0.0,20.0,0.0,0.0,0.0,25.0,55.0,0.0,0.0,0.0,548.15
0.0,20.0,0.0,0.0,60.0,0.0,0.0,0.0,20.0,0.0,512.15
0.0,20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,842.0
0.0,20.0,0.0,5.0,0.0,0.0,0.0,0.0,75.0,0.0,425.15
0.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,70.0,0.0,504.15
0.0,20.0,0.0,10.0,0.0,0.0,70.0,0.0,0.0,0.0,573.15
0.0,20.0,0.0,10.0,70.0,0.0,0.0,0.0,0.0,0.0,648.15
0.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,65.0,0.0,542.15
0.0,20.0,0.0,15.0,65.0,0.0,0.0,0.0,0.0,0.0,738.15
0.0,20.0,0.0,20.0,0.0,0.0,60.0,0.0,0.0,0.0,693.15
0.0,20.0,0.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,773.15
0.0,20.0,0.0,25.0,55.0,0.0,0.0,0.0,0.0,0.0,748.15
0.0,20.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,758.15
0.0,20.0,0.0,45.0,35.0,0.0,0.0,0.0,0.0,0.0,713.15
0.0,20.0,5.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,523.0
0.0,20.5,8.0,0.0,0.0,0.0,71.5,0.0,0.0,0.0,533.0
0.0,20.83,15.0,0.0,0.0,0.0,64.17,0.0,0.0,0.0,623.0
0.0,21.5,8.0,0.0,0.0,0.0,70.5,0.0,0.0,0.0,553.0
0.0,22.0,5.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,536.0
0.0,22.5,8.0,0.0,0.0,0.0,69.5,0.0,0.0,0.0,563.0
0.0,23.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,842.0
0.0,23.33,12.0,0.0,0.0,0.0,64.67,0.0,0.0,0.0,625.0
0.0,23.5,8.0,0.0,0.0,0.0,68.5,0.0,0.0,0.0,583.0
0.0,24.0,0.0,0.0,0.0,16.0,60.0,0.0,0.0,0.0,813.15
0.0,24.5,8.0,0.0,0.0,0.0,67.5,0.0,0.0,0.0,600.0
0.0,25.0,0.0,0.0,0.0,0.0,20.0,0.0,55.0,0.0,524.15
0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,493.15
0.0,25.0,0.0,0.0,0.0,0.0,65.0,0.0,10.0,0.0,548.15
0.0,25.0,0.0,0.0,0.0,5.0,70.0,0.0,0.0,0.0,623.15
0.0,25.0,0.0,0.0,0.0,10.0,65.0,0.0,0.0,0.0,620.15
0.0,25.0,0.0,0.0,0.0,15.0,60.0,0.0,0.0,0.0,585.15
0.0,25.0,0.0,0.0,0.0,20.0,55.0,0.0,0.0,0.0,561.15
0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,50.0,0.0,668.15
0.0,25.0,0.0,0.0,30.0,0.0,0.0,0.0,45.0,0.0,420.15
0.0,25.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,819.0
0.0,25.0,0.0,5.0,70.0,0.0,0.0,0.0,0.0,0.0,673.15
0.0,25.0,0.0,10.0,0.0,0.0,0.0,0.0,65.0,0.0,661.15
0.0,25.0,0.0,10.0,0.0,0.0,65.0,0.0,0.0,0.0,673.15
0.0,25.0,0.0,10.0,65.0,0.0,0.0,0.0,0.0,0.0,673.15
0.0,25.0,0.0,15.0,60.0,0.0,0.0,0.0,0.0,0.0,758.15
0.0,25.0,0.0,20.0,0.0,0.0,55.0,0.0,0.0,0.0,723.15
0.0,25.0,0.0,20.0,55.0,0.0,0.0,0.0,0.0,0.0,683.15
0.0,25.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,748.15
0.0,25.0,0.0,30.0,0.0,0.0,45.0,0.0,0.0,0.0,653.15
0.0,25.0,0.0,30.0,45.0,0.0,0.0,0.0,0.0,0.0,738.15
0.0,25.0,0.0,35.0,40.0,0.0,0.0,0.0,0.0,0.0,738.15
0.0,25.0,5.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,582.0
0.0,25.0,10.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,631.0
0.0,25.5,8.0,0.0,0.0,0.0,66.5,0.0,0.0,0.0,632.0
0.0,26.0,5.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,595.0
0.0,26.5,5.0,0.0,0.0,0.0,68.5,0.0,0.0,0.0,602.0
0.0,26.67,8.0,0.0,0.0,0.0,65.33,0.0,0.0,0.0,640.0
0.0,27.0,5.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,621.0
0.0,27.5,8.0,0.0,0.0,0.0,64.5,0.0,0.0,0.0,636.0
0.0,28.0,5.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,635.0
0.0,28.0,8.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,623.0
0.0,29.17,5.0,0.0,0.0,0.0,65.83,0.0,0.0,0.0,665.0
0.0,29.5,5.0,0.0,0.0,0.0,65.5,0.0,0.0,0.0,655.0
0.0,30.0,0.0,0.0,0.0,0.0,25.0,0.0,45.0,0.0,566.15
0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,40.0,0.0,548.15
0.0,30.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,559.15
0.0,30.0,0.0,0.0,0.0,0.0,40.0,0.0,30.0,0.0,578.15
0.0,30.0,0.0,0.0,0.0,0.0,45.0,0.0,25.0,0.0,585.15
0.0,30.0,0.0,0.0,0.0,0.0,60.0,0.0,10.0,0.0,600.15
0.0,30.0,0.0,0.0,0.0,0.0,65.0,0.0,5.0,0.0,599.15
0.0,30.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,606.0
0.0,30.0,0.0,0.0,25.0,0.0,0.0,0.0,45.0,0.0,480.15
0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,40.0,0.0,452.15
0.0,30.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0,435.15
0.0,30.0,0.0,0.0,40.0,0.0,0.0,0.0,30.0,0.0,420.15
0.0,30.0,0.0,0.0,50.0,0.0,0.0,0.0,20.0,0.0,450.15
0.0,30.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,694.15
0.0,30.0,0.0,0.0,65.0,0.0,0.0,0.0,5.0,0.0,688.15
0.0,30.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,697.15
0.0,30.0,0.0,5.0,65.0,0.0,0.0,0.0,0.0,0.0,773.15
0.0,30.0,0.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,793.1125000000001
0.0,30.0,0.0,15.0,55.0,0.0,0.0,0.0,0.0,0.0,773.15
0.0,30.0,0.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,738.15
0.0,30.0,0.0,25.0,45.0,0.0,0.0,0.0,0.0,0.0,743.15
0.0,30.0,0.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,693.15
0.0,30.0,0.0,45.0,25.0,0.0,0.0,0.0,0.0,0.0,688.15
0.0,30.0,0.0,55.0,15.0,0.0,0.0,0.0,0.0,0.0,733.15
0.0,30.0,5.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,653.0
0.0,30.0,8.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,605.0
0.0,30.3,0.0,0.0,0.0,0.0,45.5,0.0,0.0,24.2,643.15
0.0,32.0,5.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,623.0
0.0,32.0,8.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,601.0
0.0,33.0,0.0,0.0,0.0,0.0,62.0,0.0,5.0,0.0,628.15
0.0,33.333333333333336,0.0,0.0,0.0,0.0,66.66666666666667,0.0,0.0,0.0,710.0
0.0,33.6,0.0,0.0,0.0,0.0,66.4,0.0,0.0,0.0,841.15
0.0,35.0,0.0,0.0,0.0,0.0,30.0,0.0,35.0,0.0,569.15
0.0,35.0,0.0,0.0,0.0,0.0,35.0,0.0,30.0,0.0,591.15
0.0,35.0,0.0,0.0,0.0,0.0,40.0,0.0,25.0,0.0,604.15
0.0,35.0,0.0,0.0,0.0,0.0,45.0,0.0,20.0,0.0,623.15
0.0,35.0,0.0,0.0,0.0,0.0,50.0,0.0,15.0,0.0,647.15
0.0,35.0,0.0,0.0,0.0,0.0,60.0,0.0,5.0,0.0,615.15
0.0,35.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,660.0
0.0,35.0,0.0,0.0,0.0,5.0,60.0,0.0,0.0,0.0,628.15
0.0,35.0,0.0,0.0,25.0,0.0,0.0,0.0,40.0,0.0,544.15
0.0,35.0,0.0,0.0,30.0,0.0,0.0,0.0,35.0,0.0,614.15
0.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,30.0,0.0,612.15
0.0,35.0,0.0,0.0,50.0,0.0,0.0,0.0,15.0,0.0,669.15
0.0,35.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,588.15
0.0,35.0,0.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,753.15
0.0,35.0,0.0,10.0,0.0,0.0,55.0,0.0,0.0,0.0,683.15
0.0,35.0,0.0,10.0,55.0,0.0,0.0,0.0,0.0,0.0,693.15
0.0,35.0,0.0,15.0,50.0,0.0,0.0,0.0,0.0,0.0,698.15
0.0,35.0,0.0,20.0,45.0,0.0,0.0,0.0,0.0,0.0,683.15
0.0,35.0,0.0,25.0,40.0,0.0,0.0,0.0,0.0,0.0,678.15
0.0,35.0,0.0,35.0,30.0,0.0,0.0,0.0,0.0,0.0,723.15
0.0,35.0,5.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,596.0
0.0,36.0,0.0,0.0,0.0,4.0,60.0,0.0,0.0,0.0,858.15
0.0,37.0,0.0,0.0,0.0,0.0,60.0,0.0,3.0,0.0,627.15
0.0,37.5,0.0,0.0,0.0,18.75,43.75,0.0,0.0,0.0,593.15
0.0,38.0,0.0,0.0,26.0,0.0,0.0,0.0,36.0,0.0,573.15
